YEAR	GAP	GAWS	GAT	GAF	GAPF63	GAWS63	GATF63	GAFF63	INSUR
1948	142086	135537	51407	48097	1670	1670	1620	559	1.162234664
1949	141998	134719	50437	46840	1809	1809	1755	581	1.240392804
1950	155417	147238	52506	48600	1988	1988	1914	604	1.242798328
1951	181595	171591	56499	52612	2183	2183	2102	627	1.191743374
1952	196349	185619	57790	53752	2401	2401	2310	654	1.216698885
1953	210420	198970	59011	54694	2664	2664	2568	692	1.265221
1954	209367	197242	57484	52868	2861	2861	2740	717	1.356207967
1955	225915	212129	59184	54079	3013	3013	2892	738	1.364670157
1956	244740	229002	60955	55399	3278	3278	3150	765	1.380891323
1957	257758	239926	61424	55825	3603	3603	3458	804	1.440214992
1958	259756	241290	59961	54026	3904	3904	3692	832	1.539999247
1959	281243	259814	61715	55537	4203	4203	3913	831	1.496299744
1960	296663	272823	62817	56541	4450	4450	4149	841	1.487416267
1961	305559	280483	63024	56438	4655	4655	4346	847	1.500761867
1962	327421	299319	64724	57991	4947	4947	4571	847	1.460571527
1963	345516	314809	65780	58861	5313	5313	4854	868	1.474660635
1964	370985	337742	67447	60159	5725	5725	5203	890	1.479412913
1965	399818	363707	69877	62581	6103	6103	5480	916	1.463703036
1966	442951	400265	73718	66015	6542	6542	5804	926	1.402711511
1967	475516	428946	75658	67934	7134	7134	6322	960	1.413136244
1968	524719	471904	77831	69798	7758	7758	6893	992	1.421244144
1969	578368	518259	80091	71654	8314	8314	7355	991	1.383035183
1970	618286	551472	80003	71158	9206	9206	8139	1029	1.446077704
1971	659364	584450	79819	70776	9780	9780	8548	1028	1.452469707
1972	726238	638671	81856	72601	10726	10726	9240	1048	1.443506241
1973	812826	708639	85484	75959	11834	11834	9971	1066	1.403388619
1974	891297	772150	86866	77064	13003	13003	11050	1097	1.423492193
1975	948704	814690	85347	75296	14364	14364	11982	1098	1.458244801
1976	1058322	899580	87708	77631	15686	15686	12984	1116	1.437570095
1977	1177288	993986	90734	80335	17408	17408	14291	1155	1.437729478
1978	1333049	1120945	95113	84393	19735	19735	16256	1205	1.427843571
1979	1496381	1255261	98599	87190	21854	21854	18047	1248	1.431356788
1980	1644376	1376590	98946	87155	24234	24234	20051	1276	1.46405828
1981	1815486	1515643	99710	87876	26345	26345	21832	1287	1.464563727
1982	1915975	1593276	98368	86114	28979	28979	24005	1284	1.491046786
1983	2029388	1684213	99204	86787	30950	30950	25611	1283	1.478332043
1984	2226895	1850004	103834	91246	33108	33108	27579	1296	1.420336246
1985	2382778	1986271	106582	93775	36027	36027	30268	1327	1.415089369
1986	2523776	2105419	108544	95515	40150	40150	33825	1400	1.465738416
1987	2698657	2261212	112148	98804	43665	43665	37081	1428	1.445285559
1988	2921290	2443003	115221	101589	47524	47524	40407	1460	1.437163472
1989	3100159	2586403	117271	103642	50901	50901	42993	1482	1.429922223
1990	3297550	2745027	118906	104950	55152	55152	46586	1512	1.440685987
1991	3404829	2816011	117609	103603	59578	59578	50058	1527	1.47389555
1992	3591221	2954798	118102	103757	63060	63060	52805	1511	1.456287265
1993	3780400	3100800	120124	105488	66682	66682	55702	1506	1.427650571
