FIRMCOST	ASSUME	CAP	SIZELOG	INDCOST	CENTRAL	SOPH	COSTLOG
3.289999962	0.289999992	1	9.550000191	0.319999993	1	25	1.19088757
9.31000042	0.889999986	0	8.039999962	0.330000013	2	24	2.231089115
4.070000172	1.669999957	0	7.900000095	0.340000004	2	15	1.403643012
6.940000057	1.210000038	0	8.100000381	0.340000004	1	16	1.937301755
5.349999905	0.280000001	0	7.739999771	0.090000004	3	18	1.677096486
28.86000061	14.85999966	1	8.159999847	0.419999987	3	25	3.36245656
2.789999962	0.850000024	0	9.470000267	0.409999996	1	11	1.026041627
15	1.470000029	0	8.130000114	0.319999993	1	22	2.708050251
3.890000105	3.470000029	0	7.5	0.529999971	2	18	1.358409166
4.070000172	5.860000134	0	8.550000191	1.220000029	1	27	1.403643012
4.340000153	0.389999986	0	8.079999924	0.25999999	5	26	1.467874408
4.329999924	2.079999924	1	8.010000229	0.340000004	4	11	1.46556747
5.289999962	1.139999986	0	7.590000153	0.419999987	3	20	1.665818214
7.900000095	0.239999995	0	8.520000458	0.330000013	2	22	2.066862822
97.55000305	0.180000007	1	9.31000042	0.620000005	2	17	4.580365181
65	1.269999981	1	6.679999828	1.220000029	2	26	4.174387455
8.510000229	0.230000004	0	8.390000343	0.629999995	2	23	2.141242027
4.309999943	0.5	0	8.859999657	0.419999987	1	19	1.460937858
12.44999981	1.019999981	0	8.300000191	0.319999993	1	11	2.521720648
2.549999952	0.439999998	0	10.11999989	0.340000004	1	17	0.93609333
8.180000305	3.859999895	0	7	0.419999987	3	30	2.1016922
11.28999996	2.980000019	0	7.650000095	0.340000004	1	24	2.423917294
1.25	0.01	0	8.520000458	0.409999996	5	24	0.223143548
11.92000008	1.679999948	0	6.289999962	0.340000004	1	25	2.478217602
0.649999976	0.090000004	0	8.699999809	0.100000001	2	23	-0.430782944
3.150000095	0.209999993	1	8.590000153	0.5	2	19	1.147402525
19.37999916	0.340000004	1	7.380000114	0.330000013	1	27	2.964241505
3.75	3.279999971	0	8.069999695	0.330000013	2	23	1.321755886
13.32999992	0.829999983	0	8.010000229	0.529999971	2	18	2.59001708
4.579999924	0.439999998	1	8.479999542	0.340000004	3	18	1.521698952
13.96000004	0.02	1	8.489999771	0.5	3	29	2.636196136
0.280000001	0	0	9.859999657	0.100000001	1	5	-1.27296567
6.079999924	0.5	1	7.599999905	0.330000013	3	22	1.805004716
0.939999998	0.01	1	8.159999847	0.330000013	1	18	-0.061875407
2.970000029	0.170000002	0	7.449999809	0.100000001	3	25	1.088562012
4.110000134	0.170000002	1	8.409999847	0.330000013	4	25	1.413423061
1.220000029	0.5	1	10.60000038	0.340000004	1	13	0.198850885
6.289999962	0.01	0	9.039999962	0.860000014	2	20	1.838961005
6.119999886	0.050000001	1	8.260000229	0.330000013	4	23	1.811562061
3.50999999	0.330000013	0	9.149999619	0.319999993	1	27	1.255616069
2.160000086	0.899999976	1	8.960000038	0.340000004	2	19	0.770108283
0.360000014	0.07	0	9.949999809	0.340000004	4	22	-1.021651149
7.829999924	1.669999957	0	8.010000229	0.25999999	2	25	2.057962418
5.090000153	0.5	0	7	0.330000013	4	26	1.627277851
0.200000003	0.07	1	10.27000046	0.100000001	1	25	-1.609437943
8.850000381	1.350000024	0	8.270000458	0.330000013	1	24	2.180417538
0.75999999	0.02	0	10.02000046	0.5	3	19	-0.274436861
5.710000038	1.529999971	0	8.159999847	0.25999999	3	24	1.742218971
17.53000069	0.129999995	0	7.309999943	0.860000014	1	18	2.863913774
14	0.629999995	0	8.989999771	0.330000013	4	23	2.639057398
2.059999943	0.330000013	1	9.100000381	0.330000013	1	24	0.72270596
0.930000007	0.790000021	1	9.550000191	0.340000004	2	28	-0.072570682
10	0.709999979	0	8.159999847	0.5	1	27	2.302585125
5.820000172	0.289999992	1	8.550000191	0.5	2	9	1.761300325
9.130000114	2.5	0	8.289999962	0.319999993	5	31	2.211565733
9	2.029999971	0	7.599999905	0.5	4	24	2.197224617
12.60999966	61.81999969	1	7.420000076	0.620000005	1	24	2.534490108
2.150000095	0.129999995	0	9.010000229	0.319999993	4	23	0.765467882
22.21999931	0.419999987	0	7.5	0.330000013	1	18	3.10099268
12.71000004	3.420000076	0	7.090000153	0.319999993	2	27	2.542389154
15.97000027	0.790000021	0	8.949999809	0.620000005	3	28	2.770711899
4.320000172	1.899999976	0	8.579999924	0.319999993	3	27	1.463255405
8.489999771	0.289999992	0	8.579999924	0.319999993	1	15	2.138889074
5.25	6.460000038	1	8.289999962	0.419999987	1	11	1.65822804
18.32999992	0.289999992	0	8.699999809	0.860000014	1	25	2.908539057
21.71999931	0.920000017	0	7.5	0.409999996	4	18	3.07823348
0.400000006	0	1	10.35999966	0.409999996	5	21	-0.9162907
3.700000048	0.430000007	1	8.170000076	0.340000004	1	17	1.308332801
15	2.920000076	0	7.5	0.340000004	1	14	2.708050251
18	2.299999952	1	9.210000038	0.860000014	3	18	2.890371799
29.12000084	0.790000021	0	7.960000038	0.330000013	1	19	3.371425152
79.30000305	0.50999999	0	5.269999981	0.319999993	4	23	4.373238087
13.56999969	37.13999939	1	7.239999771	0.860000014	3	20	2.607861519
