INFORCE YEAR	LOGTINF
3844	1950	3.584783316
4863	1951	3.686904192
6355	1952	3.803115606
8558	1953	3.932372332
10046	1954	4.001993179
14493	1955	4.161158085
16774	1956	4.224636555
19366	1957	4.287039757
20536	1958	4.312515736
24998	1959	4.39790535
29101	1960	4.463907719
31107	1961	4.492857933
35341	1962	4.548278809
40666	1963	4.609231472
46487	1964	4.667331696
53020	1965	4.724439621
58059	1966	4.763869762
61535	1967	4.789122105
68357	1968	4.834783077
74598	1969	4.872727394
77392	1970	4.888696194
81931	1971	4.913448334
93410	1972	4.970393181
101154	1973	5.004982948
109623	1974	5.039901733
112032	1975	5.049342155
123569	1976	5.091909409
139402	1977	5.14426899
163081	1978	5.212403297
179250	1979	5.253458977
165215	1980	5.218049526
162356	1981	5.210468292
161144	1982	5.207214355
170659	1983	5.232129097
189951	1984	5.278641701
215973	1985	5.334399223
233859	1986	5.368954182
242977	1987	5.385565281
251015	1988	5.399699688
260107	1989	5.415152073
