DATE	CPI_U	CPI_M	YEAR
JAN1947	21.5	13.19999981	1947
FEB1947	21.5	13.30000019	1947.083374
MAR1947	21.89999962	13.30000019	1947.166626
APR1947	21.89999962	13.39999962	1947.25
MAY1947	21.89999962	13.5	1947.333374
JUN1947	22	13.5	1947.416626
JUL1947	22.20000076	13.5	1947.5
AUG1947	22.5	13.60000038	1947.583374
SEP1947	23	13.69999981	1947.666626
OCT1947	23	13.80000019	1947.75
NOV1947	23.10000038	13.80000019	1947.833374
DEC1947	23.39999962	13.89999962	1947.916626
JAN1948	23.70000076	14	1948
FEB1948	23.5	14	1948.083374
MAR1948	23.39999962	14.10000038	1948.166626
APR1948	23.79999924	14.30000019	1948.25
MAY1948	23.89999962	14.30000019	1948.333374
JUN1948	24.10000038	14.30000019	1948.416626
JUL1948	24.39999962	14.5	1948.5
AUG1948	24.5	14.5	1948.583374
SEP1948	24.5	14.5	1948.666626
OCT1948	24.39999962	14.60000038	1948.75
NOV1948	24.20000076	14.69999981	1948.833374
DEC1948	24.10000038	14.69999981	1948.916626
JAN1949	24	14.80000019	1949
FEB1949	23.79999924	14.80000019	1949.083374
MAR1949	23.79999924	14.80000019	1949.166626
APR1949	23.89999962	14.80000019	1949.25
MAY1949	23.79999924	14.80000019	1949.333374
JUN1949	23.89999962	14.80000019	1949.416626
JUL1949	23.70000076	14.80000019	1949.5
AUG1949	23.79999924	14.89999962	1949.583374
SEP1949	23.89999962	14.89999962	1949.666626
OCT1949	23.70000076	14.89999962	1949.75
NOV1949	23.79999924	14.89999962	1949.833374
DEC1949	23.60000038	14.89999962	1949.916626
JAN1950	23.5	15	1950
FEB1950	23.5	15	1950.083374
MAR1950	23.60000038	15	1950.166626
APR1950	23.60000038	15	1950.25
MAY1950	23.70000076	15	1950.333374
JUN1950	23.79999924	15	1950.416626
JUL1950	24.10000038	15.10000038	1950.5
AUG1950	24.29999924	15.10000038	1950.583374
SEP1950	24.39999962	15.19999981	1950.666626
OCT1950	24.60000038	15.30000019	1950.75
NOV1950	24.70000076	15.30000019	1950.833374
DEC1950	25	15.39999962	1950.916626
JAN1951	25.39999962	15.5	1951
FEB1951	25.70000076	15.5	1951.083374
MAR1951	25.79999924	15.69999981	1951.166626
APR1951	25.79999924	15.69999981	1951.25
MAY1951	25.89999962	15.80000019	1951.333374
JUN1951	25.89999962	15.80000019	1951.416626
JUL1951	25.89999962	15.80000019	1951.5
AUG1951	25.89999962	15.89999962	1951.583374
SEP1951	26.10000038	15.89999962	1951.666626
OCT1951	26.20000076	16	1951.75
NOV1951	26.39999962	16.10000038	1951.833374
DEC1951	26.5	16.29999924	1951.916626
JAN1952	26.5	16.39999962	1952
FEB1952	26.29999924	16.39999962	1952.083374
MAR1952	26.29999924	16.5	1952.166626
APR1952	26.39999962	16.5	1952.25
MAY1952	26.39999962	16.5	1952.333374
JUN1952	26.5	16.79999924	1952.416626
JUL1952	26.70000076	16.79999924	1952.5
AUG1952	26.70000076	16.79999924	1952.583374
SEP1952	26.70000076	16.89999962	1952.666626
OCT1952	26.70000076	16.89999962	1952.75
NOV1952	26.70000076	16.89999962	1952.833374
DEC1952	26.70000076	17	1952.916626
JAN1953	26.60000038	17	1953
FEB1953	26.5	17	1953.083374
MAR1953	26.60000038	17	1953.166626
APR1953	26.60000038	17.10000038	1953.25
MAY1953	26.70000076	17.20000076	1953.333374
JUN1953	26.79999924	17.29999924	1953.416626
JUL1953	26.79999924	17.29999924	1953.5
AUG1953	26.89999962	17.39999962	1953.583374
SEP1953	26.89999962	17.5	1953.666626
OCT1953	27	17.5	1953.75
NOV1953	26.89999962	17.60000038	1953.833374
DEC1953	26.89999962	17.60000038	1953.916626
JAN1954	26.89999962	17.60000038	1954
FEB1954	26.89999962	17.70000076	1954.083374
MAR1954	26.89999962	17.70000076	1954.166626
APR1954	26.79999924	17.79999924	1954.25
MAY1954	26.89999962	17.79999924	1954.333374
JUN1954	26.89999962	17.79999924	1954.416626
JUL1954	26.89999962	17.79999924	1954.5
AUG1954	26.89999962	17.89999962	1954.583374
SEP1954	26.79999924	17.89999962	1954.666626
OCT1954	26.79999924	17.89999962	1954.75
NOV1954	26.79999924	18	1954.833374
DEC1954	26.70000076	18	1954.916626
JAN1955	26.70000076	18	1955
FEB1955	26.70000076	18.10000038	1955.083374
MAR1955	26.70000076	18.10000038	1955.166626
APR1955	26.70000076	18.10000038	1955.25
MAY1955	26.70000076	18.20000076	1955.333374
JUN1955	26.70000076	18.20000076	1955.416626
JUL1955	26.79999924	18.20000076	1955.5
AUG1955	26.79999924	18.20000076	1955.583374
SEP1955	26.89999962	18.29999924	1955.666626
OCT1955	26.89999962	18.39999962	1955.75
NOV1955	26.89999962	18.5	1955.833374
DEC1955	26.79999924	18.60000038	1955.916626
JAN1956	26.79999924	18.60000038	1956
FEB1956	26.79999924	18.70000076	1956.083374
MAR1956	26.79999924	18.70000076	1956.166626
APR1956	26.89999962	18.79999924	1956.25
MAY1956	27	18.79999924	1956.333374
JUN1956	27.20000076	18.79999924	1956.416626
JUL1956	27.39999962	18.89999962	1956.5
AUG1956	27.29999924	19	1956.583374
SEP1956	27.39999962	19.10000038	1956.666626
OCT1956	27.5	19.10000038	1956.75
NOV1956	27.5	19.20000076	1956.833374
DEC1956	27.60000038	19.20000076	1956.916626
JAN1957	27.60000038	19.29999924	1957
FEB1957	27.70000076	19.29999924	1957.083374
MAR1957	27.79999924	19.5	1957.166626
APR1957	27.89999962	19.5	1957.25
MAY1957	28	19.60000038	1957.333374
JUN1957	28.10000038	19.70000076	1957.416626
JUL1957	28.29999924	19.70000076	1957.5
AUG1957	28.29999924	19.79999924	1957.583374
SEP1957	28.29999924	19.79999924	1957.666626
OCT1957	28.29999924	19.89999962	1957.75
NOV1957	28.39999962	20	1957.833374
DEC1957	28.39999962	20.10000038	1957.916626
JAN1958	28.60000038	20.20000076	1958
FEB1958	28.60000038	20.20000076	1958.083374
MAR1958	28.79999924	20.29999924	1958.166626
APR1958	28.89999962	20.39999962	1958.25
MAY1958	28.89999962	20.5	1958.333374
JUN1958	28.89999962	20.60000038	1958.416626
JUL1958	29	20.70000076	1958.5
AUG1958	28.89999962	20.70000076	1958.583374
SEP1958	28.89999962	20.89999962	1958.666626
OCT1958	28.89999962	21	1958.75
NOV1958	29	21	1958.833374
DEC1958	28.89999962	21	1958.916626
JAN1959	29	21.10000038	1959
FEB1959	28.89999962	21.20000076	1959.083374
MAR1959	28.89999962	21.29999924	1959.166626
APR1959	29	21.29999924	1959.25
MAY1959	29	21.39999962	1959.333374
JUN1959	29.10000038	21.5	1959.416626
JUL1959	29.20000076	21.5	1959.5
AUG1959	29.20000076	21.60000038	1959.583374
SEP1959	29.29999924	21.70000076	1959.666626
OCT1959	29.39999962	21.70000076	1959.75
NOV1959	29.39999962	21.79999924	1959.833374
DEC1959	29.39999962	21.79999924	1959.916626
JAN1960	29.29999924	21.89999962	1960
FEB1960	29.39999962	22	1960.083374
MAR1960	29.39999962	22.10000038	1960.166626
APR1960	29.5	22.20000076	1960.25
MAY1960	29.5	22.20000076	1960.333374
JUN1960	29.60000038	22.20000076	1960.416626
JUL1960	29.60000038	22.29999924	1960.5
AUG1960	29.60000038	22.29999924	1960.583374
SEP1960	29.60000038	22.39999962	1960.666626
OCT1960	29.79999924	22.39999962	1960.75
NOV1960	29.79999924	22.5	1960.833374
DEC1960	29.79999924	22.5	1960.916626
JAN1961	29.79999924	22.60000038	1961
FEB1961	29.79999924	22.70000076	1961.083374
MAR1961	29.79999924	22.70000076	1961.166626
APR1961	29.79999924	22.79999924	1961.25
MAY1961	29.79999924	22.89999962	1961.333374
JUN1961	29.79999924	22.89999962	1961.416626
JUL1961	30	23	1961.5
AUG1961	29.89999962	23	1961.583374
SEP1961	30	23.10000038	1961.666626
OCT1961	30	23.10000038	1961.75
NOV1961	30	23.10000038	1961.833374
DEC1961	30	23.20000076	1961.916626
JAN1962	30	23.20000076	1962
