Prop	q	Lambda	Case	Source
99.41000366	1	1	1	3
99.41000366	1	2	2	3
99.41000366	1	3	3	3
28.72999954	2	3	6	3
64.20999908	2	2	5	3
92.55000305	2	1	4	3
0.519999981	3	3	9	3
2.25999999	3	2	8	3
17.61000061	3	1	7	3
0	4	1	10	3
0	4	2	11	3
0	4	3	12	3
0	1	1	1	2
0	1	2	2	2
0	1	3	3	2
70.08000183	2	3	6	2
33.88999939	2	2	5	2
4.96999979	2	1	4	2
98.75	3	3	9	2
96.62000275	3	2	8	2
77.43000031	3	1	7	2
99.40000153	4	3	12	2
99.44000244	4	2	11	2
99.44999695	4	1	10	2
0.039999999	1	1	1	1
0.039999999	1	2	2	1
0.039999999	1	3	3	1
0.059999999	2	3	6	1
0.039999999	2	1	4	1
0.039999999	2	2	5	1
0.059999999	3	3	9	1
0.02	3	1	7	1
0.02	3	2	8	1
0.059999999	4	3	12	1
0.01	4	2	11	1
0	4	1	10	1


