TOT_CHG	HSA	DRG	PAYER	NO_DSCHG	CHG_NUM	DRGCODE
15021634	1	209	1	1373	10940.73828	1
1296384	1	209	2	108	12003.55566	1
939554	1	209	3	87	10799.47168	1
8278771	2	209	1	706	11726.30469	1
565987	2	209	2	50	11319.74023	1
447709	2	209	3	38	11781.81543	1
21028184	9	209	1	1615	13020.54785	1
2211315	9	209	2	180	12285.08301	1
1960152	9	209	3	150	13067.67969	1
8425495	3	209	1	740	11385.80371	1
285140	3	209	2	24	11880.83301	1
3374936	3	209	3	321	10513.81934	1
11640351	4	209	1	1048	11107.20508	1
134010	4	209	2	13	10308.46191	1
1483272	4	209	3	132	11236.90918	1
5989694	5	209	1	557	10753.49023	1
262232	5	209	2	21	12487.23828	1
615890	5	209	3	59	10438.81348	1
4581950	8	209	1	385	11901.16895	1
77136	8	209	2	7	11019.42871	1
153682	8	209	3	14	10977.28613	1
9380569	6	209	1	821	11425.78418	1
365713	6	209	2	29	12610.79297	1
1548143	6	209	3	143	10826.1748	1
460583	7	209	1	58	7941.086426	1
48631	7	209	3	5	9726.200195	1
2883292	1	391	1	5901	488.6107483	2
1262008	1	391	2	2701	467.2373047	2
421930	1	391	3	934	451.7451782	2
2730480	2	391	1	4677	583.8101196	2
859757	2	391	2	1503	572.0272827	2
1328222	2	391	3	1886	704.253418	2
2787828	9	391	1	3958	704.3527222	2
4251024	9	391	2	6677	636.666748	2
1371560	9	391	3	2256	607.9609985	2
1036385	3	391	1	2273	455.9546814	2
143844	3	391	2	321	448.1121521	2
1284606	3	391	3	2710	474.024353	2
1996161	4	391	1	3772	529.2049561	2
75565	4	391	2	133	568.1578979	2
1024999	4	391	3	1973	519.5129395	2
1145183	5	391	1	2248	509.4230347	2
423130	5	391	2	759	557.4835205	2
420130	5	391	3	873	481.2485657	2
1192402	8	391	1	2196	542.9881592	2
165490	8	391	2	295	560.9830322	2
212690	8	391	3	437	486.7048035	2
2008777	6	391	1	3224	623.0697632	2
296831	6	391	2	417	711.8249512	2
598513	6	391	3	1015	589.6679688	2
358223	7	391	1	728	492.0645752	2
18683	7	391	2	38	491.6578979	2
103108	7	391	3	221	466.5520325	2
1218671	1	430	2	296	4117.131836	3
12354661	1	430	3	826	14957.2168	3
7561028	2	430	1	1323	5715.0625	3
433980	2	430	2	125	3471.840088	3
3161606	2	430	3	550	5748.374512	3
29872156	9	430	1	3831	7797.482422	3
2789444	9	430	2	620	4499.103027	3
5880454	9	430	3	786	7481.493652	3
3657306	3	430	1	865	4228.099609	3
80445	3	430	2	29	2773.965576	3
11592379	3	430	3	753	15394.92578	3
7238574	4	430	1	1264	5726.719727	3
151806	4	430	2	29	5234.689453	3
2497268	4	430	3	497	5024.684082	3
6127611	5	430	1	924	6631.61377	3
276621	5	430	2	35	7903.457031	3
2039454	5	430	3	365	5587.54541	3
2935228	8	430	1	696	4217.281738	3
137583	8	430	2	41	3355.682861	3
588967	8	430	3	139	4237.172852	3
3864421	6	430	1	727	5315.572266	3
380480	6	430	2	60	6341.333496	3
1219430	6	430	3	261	4672.145508	3
259348	7	430	1	73	3552.712402	3
1212	7	430	2	2	606	3
190796	7	430	3	46	4147.739258	3
