TIME	TREND	SEASON	RANDOM	SUM
1	0.1	0	-0.15011608	-0.05011608
2	0.2	0	-0.638841584	-0.438841584
3	0.3	0	0.122128654	0.422128654
4	0.4	1	0.63823677	2.03823677
5	0.5	0	0.59917511	1.09917511
6	0.6	0	0.866566552	1.466566552
7	0.7	0	-1.09179382	-0.39179382
8	0.8	1	-0.117090622	1.682909378
9	0.9	0	0.547511263	1.447511263
10	1	0	-0.543350325	0.456649675
11	1.1	0	-0.34510208	0.75489792
12	1.2	1	-0.845216164	1.354783836
13	1.3	0	-0.923455445	0.376544555
14	1.4	0	-0.488814749	0.911185251
15	1.5	0	-0.386753527	1.113246473
16	1.6	1	-1.058965609	1.541034391
17	1.7	0	-0.283962436	1.416037564
18	1.8	0	-0.202023784	1.597976216
19	1.9	0	0.067426527	1.967426527
20	2	1	-0.182746476	2.817253524
21	2.1	0	-0.163495315	1.936504685
22	2.2	0	-0.185120257	2.014879743
23	2.3	0	0.671320777	2.971320777
24	2.4	1	-0.042642228	3.357357772
25	2.5	0	-0.093078825	2.406921175
26	2.6	0	-0.256603698	2.343396302
27	2.7	0	0.986105988	3.686105988
28	2.8	1	0.432836487	4.232836487
29	2.9	0	1.187827365	4.087827365
30	3	0	-0.327453336	2.672546664
31	3.1	0	0.830727913	3.930727913
32	3.2	1	-0.806198841	3.393801159
33	3.3	0	0.269474185	3.569474185
34	3.4	0	0.45109573	3.85109573
35	3.5	0	0.959457793	4.459457793
36	3.6	1	-0.042258534	4.557741466
37	3.7	0	-0.261897526	3.438102474
38	3.8	0	0.33756919	4.13756919
39	3.9	0	-0.190661922	3.709338078
40	4	1	0.37880568	5.37880568
41	4.1	0	-0.722093318	3.377906682
42	4.2	0	-0.423618758	3.776381242
43	4.3	0	-0.760785497	3.539214503
44	4.4	1	-0.181438509	5.218561491
45	4.5	0	-0.016239596	4.483760404
46	4.6	0	0.014058514	4.614058514
47	4.7	0	-0.161358003	4.538641997
48	4.8	1	1.097250788	6.897250788
49	4.9	0	-0.871241355	4.028758645
50	5	0	-0.368238489	4.631761511
51	5.1	0	-1.288790372	3.811209628
52	5.2	1	0.723835001	6.923835001
53	5.3	0	-0.639881819	4.660118181
54	5.4	0	-0.326789973	5.073210027
55	5.5	0	0.378856839	5.878856839
56	5.6	1	0.233355877	6.833355877
57	5.7	0	0.437304379	6.137304379
58	5.8	0	0.297870884	6.097870884
59	5.9	0	-0.685924988	5.214075012
60	6	1	-0.557869271	6.442130729
