yt*	yt	Ct	t
10	3	103	1
9	2	105	2
7	0	105	3
5	-2	103	4
7	0	103	5
5	-2	101	6
5	-2	99	7
8	1	100	8
7	0	100	9
10	3	103	10
6	-1	102	11
5	-2	100	12
7	0	100	13
2	-5	95	14
11	4	99	15
9	2	101	16
8	1	102	17
7	0	102	18
8	1	103	19
5	-2	101	20
2	-5	96	21
7	0	96	22
9	2	98	23
4	-3	95	24
11	4	99	25
9	2	101	26
6	-1	100	27
5	-2	98	28
7	0	98	29
8	1	99	30
7	0	99	31
11	4	103	32
9	2	105	33
5	-2	103	34
6	-1	102	35
10	3	105	36
2	-5	100	37
12	5	105	38
4	-3	102	39
4	-3	99	40
7	0	99	41
6	-1	98	42
7	0	98	43
6	-1	97	44
8	1	98	45
10	3	101	46
6	-1	100	47
10	3	103	48
8	1	104	49
11	4	108	50
