t	Sxt	Syt
1	0.199767841	2.983757271
2	-0.577915327	3.582485195
3	0.16634198	3.200450412
4	1.942815521	2.909492428
5	3.64116574	2.597331849
6	5.874298843	3.181771611
7	4.190711204	3.883988663
8	4.456529961	2.688426786
9	6.051552486	2.730057372
10	5.464851837	3.26008775
11	5.274647677	3.077823478
12	4.084215349	3.624619255
13	2.737304458	4.44290602
14	2.259674961	7.21920755
15	1.986167907	5.804612063
16	0.36823669	6.27297529
17	0.300311818	8.682341182
18	0.396264249	9.548569687
19	1.031117303	10.33649979
20	1.165624351	9.924958729
21	1.338633721	9.761495987
22	1.468393207	10.44259685
23	3.311034761	12.35475563
24	3.725750306	13.45562126
25	4.039592656	15.6832883
26	4.02638526	15.36867891
27	6.498597236	15.7765596
28	7.864270209	16.68451117
29	10.73992494	17.88817358
30	10.58501827	17.4857502
31	12.74647409	19.14367565
32	11.63407641	21.41332952
33	12.67302478	21.98127332
34	14.07521624	23.9337591
35	16.49413183	23.80535737
36	16.90961476	24.72305532
37	16.88581971	25.65792794
38	18.06095809	25.52626113
39	18.17963425	26.06141992
40	19.43724561	26.58815907
41	18.49305897	26.25420927
42	18.14582145	27.64474101
43	17.12425046	27.41426897
44	17.26137344	28.70836926
45	17.72889425	29.16203277
46	18.25701128	29.54753194
47	18.43429527	29.98694595
48	21.12879685	31.15231636
49	19.88631414	33.39725015
50	19.64983716	34.27159022
