QUALPOP	VOTERS	QUALPCNT	YEAR	PRESYEAR	TIME	TIMESQ	FITS
1527661	701280	45.90547562	1920	1	1	1	49.31674691
1568742	481828	30.71429062	1922	0	2	4	31.99323544
1601395	840140	52.46300507	1924	1	3	9	53.31477628
1652563	552912	33.4578476	1926	0	4	16	35.7777759
1699877	1016831	59.81791687	1928	1	5	25	56.88582782
1768818	606825	34.30680847	1930	0	6	36	39.13533852
1825120	1114808	61.08135605	1932	1	7	49	60.02990152
1886444	953797	50.56057739	1934	0	8	64	42.0659233
1935816	1258560	65.01444244	1936	1	9	81	62.74699738
1983360	981560	49.48975372	1938	0	10	100	44.56953024
2018581	1405522	69.62921143	1940	1	11	121	65.0371154
1966132	800985	40.7391243	1942	0	12	144	46.64615935
1922100	1339152	69.67129517	1944	1	13	169	66.90025559
2140886	1040444	48.5987587	1946	0	14	196	48.29581061
2181655	1276800	58.52437592	1948	1	15	225	68.33641794
2222423	1138148	51.21203232	1950	0	16	256	49.51848404
2248836	1607370	71.47563934	1952	1	17	289	69.34560245
2275249	1158666	50.92480087	1954	0	18	324	50.31417963
2301663	1550558	67.36685944	1956	1	19	361	69.92780912
2328076	1202219	51.64002228	1958	0	20	400	50.68289738
2354489	1729082	73.43767548	1960	1	21	441	70.08303795
2368377	1265900	53.45010757	1962	0	22	484	50.6246373
2397653	1691815	70.56129456	1964	1	23	529	69.81128895
2418056	1170173	48.39313126	1966	0	24	576	50.13939937
2561605	1689196	65.94287872	1968	1	25	625	69.1125621
2593018	1343160	51.79909897	1970	0	26	676	49.22718361
2965000	1851997	62.46195602	1972	1	27	729	67.98685742
3121000	1181685	37.8623848	1974	0	28	784	47.88799001
3193000	2104175	65.89962006	1976	1	29	841	66.4341749
3263000	1500996	46.00048828	1978	0	30	900	46.12181857
3375000	2273221	67.35469818	1980	1	31	961	64.45451455
3446000	1580344	45.86024475	1982	0	32	1024	43.9286693
3490000	2212018	63.38160706	1984	1	33	1089	62.04787635
3522000	1526573	43.34392166	1986	0	34	1156	41.30854218
3593000	2191612	60.99671555	1988	1	35	1225	59.21426032
3617000	1379727	38.14561844	1990	0	36	1296	38.26143723
