caldt	vwretd	time
20050103	-0.008182541	1
20050104	-0.01143305	2
20050105	-0.003554119	3
20050106	0.003732335	4
20050107	-0.001434447	5
20050110	0.003391465	6
20050111	-0.006015802	7
20050112	0.004447776	8
20050113	-0.008636129	9
20050114	0.006056434	10
20050118	0.009759512	11
20050119	-0.009411501	12
20050120	-0.007726173	13
20050121	-0.006535533	14
20050124	-0.003464656	15
20050125	0.003904152	16
20050126	0.004918093	17
20050127	0.000606975	18
20050128	-0.002653645	19
20050131	0.008530072	20
20050201	0.006962539	21
20050202	0.003312296	22
20050203	-0.002412298	23
20050204	0.01111156	24
20050207	-0.001093835	25
20050208	0.000796688	26
20050209	-0.008405501	27
20050210	0.004295574	28
20050211	0.007176305	29
20050214	0.000857996	30
20050215	0.003243829	31
20050216	0.000143242	32
20050217	-0.007786786	33
20050218	0.000721241	34
20050222	-0.01443364	35
20050223	0.005702662	36
20050224	0.008175586	37
20050225	0.009482446	38
20050228	-0.006486273	39
20050301	0.005575159	40
20050302	0.000168421	41
20050303	0.000380724	42
20050304	0.009668397	43
20050307	0.002533299	44
20050308	-0.004759436	45
20050309	-0.009975579	46
20050310	0.001723836	47
20050311	-0.007114136	48
20050314	0.005530145	49
20050315	-0.007464652	50
20050316	-0.007989788	51
20050317	0.001737869	52
20050318	-0.000502482	53
20050321	-0.004878336	54
20050322	-0.01008073	55
20050323	0.000719349	56
20050324	-0.000851509	57
20050328	0.002432982	58
20050329	-0.007430858	59
20050330	0.01387507	60
20050331	-0.000625479	61
20050401	-0.006550987	62
20050404	0.003058913	63
20050405	0.004415306	64
20050406	0.002460863	65
20050407	0.005960732	66
20050408	-0.008262135	67
20050411	-9.08E-08	68
20050412	0.005601911	69
20050413	-0.01159691	70
20050414	-0.009979313	71
20050415	-0.0166663	72
20050418	0.002891212	73
20050419	0.006010688	74
20050420	-0.01310009	75
20050421	0.01939599	76
20050422	-0.006542904	77
20050425	0.008570421	78
20050426	-0.008712855	79
20050427	0.004134635	80
20050428	-0.01123193	81
20050429	0.01192468	82
20050502	0.004631045	83
20050503	-0.000665499	84
20050504	0.01243896	85
20050505	-0.002367262	86
20050506	-0.00113082	87
20050509	0.006457568	88
20050510	-0.01071527	89
20050511	0.004677189	90
20050512	-0.0100121	91
20050513	-0.004432005	92
20050516	0.01026947	93
20050517	0.006984244	94
20050518	0.01030036	95
20050519	0.0044672	96
20050520	-0.00161274	97
20050523	0.003976322	98
20050524	0.000167802	99
20050525	-0.003358394	100
20050526	0.006507382	101
20050527	0.001139074	102
20050531	-0.006017867	103
20050601	0.009252623	104
20050602	0.00189902	105
20050603	-0.006863174	106
20050606	0.001292927	107
20050607	-0.000228945	108
20050608	-0.002030361	109
20050609	0.005391372	110
20050610	-0.002335731	111
20050613	0.00248418	112
20050614	0.002762219	113
20050615	0.002340552	114
20050616	0.00361944	115
20050617	0.004865833	116
20050620	-0.000713454	117
20050621	-0.002064905	118
20050622	0.000284448	119
20050623	-0.01060942	120
20050624	-0.007590487	121
20050627	-0.000731733	122
20050628	0.009352893	123
20050629	-0.001210907	124
20050630	-0.007188359	125
20050701	0.002837051	126
20050705	0.009007997	127
20050706	-0.008070285	128
20050707	0.002497298	129
20050708	0.01164373	130
20050711	0.006322135	131
20050712	0.002327939	132
20050713	0.000996475	133
20050714	0.002641206	134
20050715	0.0011578	135
20050718	-0.005504394	136
20050719	0.006829689	137
20050720	0.004731009	138
20050721	-0.006552098	139
20050722	0.005305705	140
20050725	-0.003733318	141
20050726	0.001631432	142
20050727	0.004741995	143
20050728	0.005863378	144
20050729	-0.007681585	145
20050801	0.000921427	146
20050802	0.007202732	147
20050803	0.000960525	148
20050804	-0.007454388	149
20050805	-0.007580737	150
20050808	-0.002689494	151
20050809	0.006739456	152
20050810	-0.001457485	153
20050811	0.007087547	154
20050812	-0.005903274	155
20050815	0.002991904	156
20050816	-0.011857	157
20050817	0.000958494	158
20050818	-0.000894871	159
20050819	0.000640166	160
20050822	0.001570741	161
20050823	-0.003399626	162
20050824	-0.006497522	163
20050825	0.002299707	164
20050826	-0.00589175	165
20050829	0.00614922	166
20050830	-0.003077747	167
20050831	0.01011067	168
20050901	0.001137855	169
20050902	-0.00288575	170
20050906	0.01269564	171
20050907	0.002600897	172
20050908	-0.00383643	173
20050909	0.00796395	174
20050912	-0.000633989	175
20050913	-0.007327243	176
20050914	-0.003327825	177
20050915	0.000435541	178
20050916	0.008104964	179
20050919	-0.005436859	180
20050920	-0.007776514	181
20050921	-0.009426103	182
20050922	0.003920963	183
20050923	0.000582945	184
20050926	0.000281324	185
20050927	8.21152E-05	186
20050928	0.00114062	187
20050929	0.008931823	188
20050930	0.001083731	189
20051003	-0.001697575	190
20051004	-0.009728969	191
20051005	-0.0143999	192
20051006	-0.004052272	193
20051007	0.003791389	194
20051010	-0.007146318	195
20051011	-0.001993338	196
20051012	-0.005940023	197
20051013	-0.000604263	198
20051014	0.008304901	199
20051017	0.00307875	200
20051018	-0.009929102	201
20051019	0.01504919	202
20051020	-0.01499533	203
20051021	0.001642485	204
20051024	0.01681965	205
20051025	-0.002564877	206
20051026	-0.00413379	207
20051027	-0.01045408	208
20051028	0.01658195	209
20051031	0.007530494	210
20051101	-0.003396784	211
20051102	0.01013467	212
20051103	0.004575091	213
20051104	0.000318268	214
20051107	0.002389446	215
20051108	-0.002974995	216
20051109	0.001690816	217
20051110	0.00886845	218
20051111	0.003021012	219
20051114	-0.000732666	220
20051115	-0.003736356	221
20051116	0.002034907	222
20051117	0.00940225	223
20051118	0.004443849	224
20051121	0.005284031	225
20051122	0.005041378	226
20051123	0.003641603	227
20051125	0.002015732	228
20051128	-0.008370953	229
20051129	7.26118E-05	230
20051130	-0.006021239	231
20051201	0.01203516	232
20051202	0.000413585	233
20051205	-0.002464134	234
20051206	0.001261986	235
20051207	-0.004769445	236
20051208	-0.001017414	237
20051209	0.002859363	238
20051212	0.001008241	239
20051213	0.005631392	240
20051214	0.004245894	241
20051215	-0.00140458	242
20051216	-0.002829402	243
20051219	-0.005892667	244
20051220	-0.000319593	245
20051221	0.002484559	246
20051222	0.004371044	247
20051223	0.000512572	248
20051227	-0.009530116	249
20051228	0.001440643	250
20051229	-0.002897598	251
20051230	-0.004988088	252
20060103	0.01634249	253
20060104	0.00392901	254
20060105	2.95494E-05	255
20060106	0.009557796	256
20060109	0.003710018	257
20060110	-0.000340673	258
20060111	0.003636136	259
20060112	-0.006328121	260
20060113	0.001145598	261
20060117	-0.003727937	262
20060118	-0.003854216	263
20060119	0.005627113	264
20060120	-0.01824116	265
20060123	0.001949813	266
20060124	0.002343768	267
20060125	-0.001664459	268
20060126	0.007310431	269
20060127	0.007844902	270
20060130	0.001334938	271
20060131	-0.004011143	272
20060201	0.001960739	273
20060202	-0.00861183	274
20060203	-0.005508604	275
20060206	0.000661159	276
20060207	-0.008057022	277
20060208	0.009057421	278
20060209	-0.001366946	279
20060210	0.002511295	280
20060213	-0.00319474	281
20060214	0.01023158	282
20060215	0.003883776	283
20060216	0.007385061	284
20060217	-0.00174305	285
20060221	-0.003292563	286
20060222	0.007579083	287
20060223	-0.003422102	288
20060224	0.001313322	289
20060227	0.003840134	290
20060228	-0.01047712	291
20060301	0.008456738	292
20060302	-0.001630363	293
20060303	-0.001350278	294
20060306	-0.006977723	295
20060307	-0.001840986	296
20060308	0.002285636	297
20060309	-0.004850351	298
20060310	0.00739149	299
20060313	0.002232728	300
20060314	0.01036267	301
20060315	0.004470234	302
20060316	0.002010465	303
20060317	0.001536118	304
20060320	-0.001425678	305
20060321	-0.006015434	306
20060322	0.005920071	307
20060323	-0.002577025	308
20060324	0.000933696	309
20060327	-0.001105239	310
20060328	-0.006380423	311
20060329	0.007613987	312
20060330	-0.00201183	313
20060331	-0.004062858	314
20060403	0.002187721	315
20060404	0.006170124	316
20060405	0.004374822	317
20060406	-0.001723865	318
20060407	-0.01040502	319
20060410	0.000811533	320
20060411	-0.007566896	321
20060412	0.001393486	322
20060413	0.000549969	323
20060417	-0.002918465	324
20060418	0.01727138	325
20060419	0.001964604	326
20060420	0.001135959	327
20060421	-0.000265592	328
20060424	-0.002282023	329
20060425	-0.004800106	330
20060426	0.002916565	331
20060427	0.003408268	332
20060428	0.000100039	333
20060501	-0.004031097	334
20060502	0.00603895	335
20060503	-0.003800012	336
20060504	0.003363442	337
20060505	0.01037042	338
20060508	-0.00072052	339
20060509	0.000360669	340
20060510	-0.00124633	341
20060511	-0.0128152	342
