TIME	YEAR	INFBOND	LAGINFBOND	DEVIBOND	indext	et
1	2003.00	2.72	NA	0.48	NA	0.14   
2	2003.08	2.50	2.72	0.26	2.666044	-0.17
3	2003.17	2.52	2.50	0.28	2.47405	0.05
4	2003.25	2.72	2.52	0.48	2.491504	0.23
5	2003.33	2.40	2.72	0.16	2.666044	-0.27
6	2003.42	2.27	2.40	0.03	2.38678	-0.12
7	2003.50	2.64	2.27	0.40	2.273329	0.37
8	2003.58	2.80	2.64	0.56	2.596228	0.20
9	2003.67	2.67	2.80	0.43	2.73586	-0.07
10	2003.75	2.57	2.67	0.33	2.622409	-0.05
11	2003.83	2.40	2.57	0.16	2.535139	-0.14
12	2003.92	2.31	2.40	0.07	2.38678	-0.08
13	2004.00	2.24	2.31	0.00	2.308237	-0.07
14	2004.08	2.15	2.24	-0.09	2.247148	-0.10
15	2004.17	1.93	2.15	-0.31	2.168605	-0.24
16	2004.25	2.28	1.93	0.04	1.976611	0.30
17	2004.33	2.45	2.28	0.21	2.282056	0.17
18	2004.42	2.43	2.45	0.19	2.430415	0.00
19	2004.50	2.36	2.43	0.12	2.412961	-0.05
20	2004.58	2.26	2.36	0.02	2.351872	-0.09
21	2004.67	2.18	2.26	-0.06	2.264602	-0.08
22	2004.75	2.15	2.18	-0.09	2.194786	-0.04
23	2004.83	2.11	2.15	-0.13	2.168605	-0.06
24	2004.92	2.00	2.11	-0.24	2.133697	-0.13
25	2005.00	1.96	2.00	-0.28	2.0377	-0.08
26	2005.08	1.83	1.96	-0.41	2.002792	-0.17
27	2005.17	1.93	1.83	-0.31	1.889341	0.04
28	2005.25	1.86	1.93	-0.38	1.976611	-0.12
29	2005.33	1.80	1.86	-0.44	1.915522	-0.12
30	2005.42	1.77	1.80	-0.47	1.86316	-0.09
31	2005.50	1.96	1.77	-0.28	1.836979	0.12
32	2005.58	1.98	1.96	-0.26	2.002792	-0.02
33	2005.67	1.89	1.98	-0.35	2.020246	-0.13
34	2005.75	2.05	1.89	-0.19	1.941703	0.11
35	2005.83	2.11	2.05	-0.13	2.081335	0.03
36	2005.92	2.09	2.11	-0.15	2.133697	-0.04
37	2006.00	2.00	2.09	-0.24	2.116243	-0.12
38	2006.08	1.96	2.00	-0.28	2.0377	-0.08
39	2006.17	2.13	1.96	-0.11	2.002792	0.13
40	2006.25	2.39	2.13	0.15	2.151151	0.24
41	2006.33	2.45	2.39	0.21	2.378053	0.07
42	2006.42	2.50	2.45	0.26	2.430415	0.07
43	2006.50	2.47	2.50	0.23	2.47405	0.00
44	2006.58	2.27	2.47	0.03	2.447869	-0.18
45	2006.67	2.26	2.27	0.02	2.273329	-0.01
46	2006.75	2.34	2.26	0.10	2.264602	0.08
47	2006.83	2.19	2.34	-0.05	2.334418	-0.14
48	2006.92	2.23	2.19	-0.01	2.203513	0.03
49	2007.00	2.40	2.23	0.16	2.238421	0.16
50	2007.08	2.36	2.40	0.12	2.38678	-0.03
51	2007.17	2.25	2.36	0.01	2.351872	-0.10
