DATE	EXHKUS	LAGEXHK
4-Apr-05	7.7991	7.7989
5-Apr-05	7.7995	7.7991
6-Apr-05	7.7993	7.7995
7-Apr-05	7.7990	7.7993
8-Apr-05	7.7989	7.7990
11-Apr-05	7.7990	7.7989
12-Apr-05	7.7991	7.7990
13-Apr-05	7.7989	7.7991
14-Apr-05	7.7987	7.7989
15-Apr-05	7.7984	7.7987
18-Apr-05	7.7990	7.7984
19-Apr-05	7.7990	7.7990
20-Apr-05	7.7994	7.7990
21-Apr-05	7.7992	7.7994
22-Apr-05	7.7956	7.7992
25-Apr-05	7.7959	7.7956
26-Apr-05	7.7981	7.7959
27-Apr-05	7.7988	7.7981
28-Apr-05	7.7989	7.7988
29-Apr-05	7.7946	7.7989
2-May-05	7.7963	7.7946
3-May-05	7.7952	7.7963
4-May-05	7.7937	7.7952
5-May-05	7.7915	7.7937
6-May-05	7.7929	7.7915
9-May-05	7.7970	7.7929
10-May-05	7.7984	7.7970
11-May-05	7.7980	7.7984
12-May-05	7.7977	7.7980
13-May-05	7.7984	7.7977
16-May-05	7.7992	7.7984
17-May-05	7.7995	7.7992
18-May-05	7.7940	7.7995
19-May-05	7.7928	7.7940
20-May-05	7.7905	7.7928
23-May-05	7.7861	7.7905
24-May-05	7.7803	7.7861
25-May-05	7.7816	7.7803
26-May-05	7.7811	7.7816
27-May-05	7.7767	7.7811
31-May-05	7.7788	7.7767
1-Jun-05	7.7842	7.7788
2-Jun-05	7.7833	7.7842
3-Jun-05	7.7821	7.7833
6-Jun-05	7.7810	7.7821
7-Jun-05	7.7806	7.7810
8-Jun-05	7.7802	7.7806
9-Jun-05	7.7806	7.7802
10-Jun-05	7.7781	7.7806
13-Jun-05	7.7754	7.7781
14-Jun-05	7.7737	7.7754
15-Jun-05	7.7735	7.7737
16-Jun-05	7.7747	7.7735
17-Jun-05	7.7735	7.7747
20-Jun-05	7.7737	7.7735
21-Jun-05	7.7711	7.7737
22-Jun-05	7.7692	7.7711
23-Jun-05	7.7703	7.7692
24-Jun-05	7.7719	7.7703
27-Jun-05	7.7712	7.7719
28-Jun-05	7.7711	7.7712
29-Jun-05	7.7705	7.7711
30-Jun-05	7.7719	7.7705
1-Jul-05	7.7718	7.7719
5-Jul-05	7.7718	7.7718
6-Jul-05	7.7729	7.7718
7-Jul-05	7.7728	7.7729
8-Jul-05	7.7739	7.7728
11-Jul-05	7.7776	7.7739
12-Jul-05	7.7787	7.7776
13-Jul-05	7.7792	7.7787
14-Jul-05	7.7773	7.7792
15-Jul-05	7.7772	7.7773
18-Jul-05	7.7760	7.7772
19-Jul-05	7.7770	7.7760
20-Jul-05	7.7777	7.7770
21-Jul-05	7.7685	7.7777
22-Jul-05	7.7733	7.7685
25-Jul-05	7.7732	7.7733
26-Jul-05	7.7764	7.7732
27-Jul-05	7.7773	7.7764
28-Jul-05	7.7743	7.7773
29-Jul-05	7.7744	7.7743
1-Aug-05	7.7722	7.7744
2-Aug-05	7.7722	7.7722
3-Aug-05	7.7712	7.7722
4-Aug-05	7.7729	7.7712
5-Aug-05	7.7711	7.7729
8-Aug-05	7.7709	7.7711
9-Aug-05	7.7713	7.7709
10-Aug-05	7.7693	7.7713
11-Aug-05	7.7687	7.7693
12-Aug-05	7.7691	7.7687
15-Aug-05	7.7684	7.7691
16-Aug-05	7.7714	7.7684
17-Aug-05	7.7713	7.7714
18-Aug-05	7.7692	7.7713
19-Aug-05	7.7711	7.7692
22-Aug-05	7.7710	7.7711
23-Aug-05	7.7734	7.7710
24-Aug-05	7.7733	7.7734
25-Aug-05	7.7709	7.7733
26-Aug-05	7.7688	7.7709
29-Aug-05	7.7691	7.7688
30-Aug-05	7.7710	7.7691
31-Aug-05	7.7718	7.7710
1-Sep-05	7.7693	7.7718
2-Sep-05	7.7670	7.7693
6-Sep-05	7.7673	7.7670
7-Sep-05	7.7671	7.7673
8-Sep-05	7.7659	7.7671
9-Sep-05	7.7645	7.7659
12-Sep-05	7.7615	7.7645
13-Sep-05	7.7609	7.7615
14-Sep-05	7.7596	7.7609
15-Sep-05	7.7591	7.7596
16-Sep-05	7.7607	7.7591
19-Sep-05	7.7612	7.7607
20-Sep-05	7.7617	7.7612
21-Sep-05	7.7617	7.7617
22-Sep-05	7.7604	7.7617
23-Sep-05	7.7591	7.7604
26-Sep-05	7.7575	7.7591
27-Sep-05	7.7575	7.7575
28-Sep-05	7.7595	7.7575
29-Sep-05	7.7593	7.7595
30-Sep-05	7.7567	7.7593
3-Oct-05	7.7574	7.7567
4-Oct-05	7.7563	7.7574
5-Oct-05	7.7556	7.7563
6-Oct-05	7.7555	7.7556
7-Oct-05	7.7545	7.7555
11-Oct-05	7.7579	7.7545
12-Oct-05	7.7581	7.7579
13-Oct-05	7.7583	7.7581
14-Oct-05	7.7565	7.7583
17-Oct-05	7.7571	7.7565
18-Oct-05	7.7586	7.7571
19-Oct-05	7.7587	7.7586
20-Oct-05	7.7587	7.7587
21-Oct-05	7.7543	7.7587
24-Oct-05	7.7549	7.7543
25-Oct-05	7.7546	7.7549
26-Oct-05	7.7535	7.7546
27-Oct-05	7.7535	7.7535
28-Oct-05	7.7529	7.7535
31-Oct-05	7.7519	7.7529
1-Nov-05	7.7514	7.7519
2-Nov-05	7.7526	7.7514
3-Nov-05	7.7524	7.7526
4-Nov-05	7.7523	7.7524
7-Nov-05	7.7521	7.7523
8-Nov-05	7.7539	7.7521
9-Nov-05	7.7570	7.7539
10-Nov-05	7.7553	7.7570
14-Nov-05	7.7559	7.7553
15-Nov-05	7.7555	7.7559
16-Nov-05	7.7555	7.7555
17-Nov-05	7.7535	7.7555
18-Nov-05	7.7527	7.7535
21-Nov-05	7.7534	7.7527
22-Nov-05	7.7532	7.7534
23-Nov-05	7.7522	7.7532
25-Nov-05	7.7540	7.7522
28-Nov-05	7.7536	7.7540
29-Nov-05	7.7539	7.7536
30-Nov-05	7.7546	7.7539
1-Dec-05	7.7548	7.7546
2-Dec-05	7.7544	7.7548
5-Dec-05	7.7534	7.7544
6-Dec-05	7.7540	7.7534
7-Dec-05	7.7540	7.7540
8-Dec-05	7.7539	7.7540
9-Dec-05	7.7541	7.7539
12-Dec-05	7.7534	7.7541
13-Dec-05	7.7532	7.7534
14-Dec-05	7.7528	7.7532
15-Dec-05	7.7526	7.7528
16-Dec-05	7.7518	7.7526
19-Dec-05	7.7516	7.7518
20-Dec-05	7.7518	7.7516
21-Dec-05	7.7520	7.7518
22-Dec-05	7.7523	7.7520
23-Dec-05	7.7525	7.7523
27-Dec-05	7.7528	7.7525
28-Dec-05	7.7525	7.7528
29-Dec-05	7.7531	7.7525
30-Dec-05	7.7533	7.7531
3-Jan-06	7.7535	7.7533
4-Jan-06	7.7533	7.7535
5-Jan-06	7.7534	7.7533
6-Jan-06	7.7531	7.7534
9-Jan-06	7.7507	7.7531
10-Jan-06	7.7506	7.7507
11-Jan-06	7.7509	7.7506
12-Jan-06	7.7511	7.7509
13-Jan-06	7.7513	7.7511
17-Jan-06	7.7535	7.7513
18-Jan-06	7.7533	7.7535
19-Jan-06	7.7535	7.7533
20-Jan-06	7.7545	7.7535
23-Jan-06	7.7541	7.7545
24-Jan-06	7.7554	7.7541
25-Jan-06	7.7566	7.7554
26-Jan-06	7.7561	7.7566
27-Jan-06	7.7565	7.7561
30-Jan-06	7.7571	7.7565
31-Jan-06	7.7561	7.7571
1-Feb-06	7.7569	7.7561
2-Feb-06	7.7564	7.7569
3-Feb-06	7.7570	7.7564
6-Feb-06	7.7579	7.7570
7-Feb-06	7.7590	7.7579
8-Feb-06	7.7618	7.7590
9-Feb-06	7.7613	7.7618
10-Feb-06	7.7590	7.7613
13-Feb-06	7.7594	7.7590
14-Feb-06	7.7604	7.7594
15-Feb-06	7.7612	7.7604
16-Feb-06	7.7603	7.7612
17-Feb-06	7.7604	7.7603
21-Feb-06	7.7610	7.7604
22-Feb-06	7.7611	7.7610
23-Feb-06	7.7587	7.7611
24-Feb-06	7.7580	7.7587
27-Feb-06	7.7580	7.7580
28-Feb-06	7.7584	7.7580
1-Mar-06	7.7574	7.7584
2-Mar-06	7.7574	7.7574
3-Mar-06	7.7587	7.7574
6-Mar-06	7.7587	7.7587
7-Mar-06	7.7607	7.7587
8-Mar-06	7.7609	7.7607
9-Mar-06	7.7608	7.7609
10-Mar-06	7.7620	7.7608
13-Mar-06	7.7590	7.7620
14-Mar-06	7.7578	7.7590
15-Mar-06	7.7583	7.7578
16-Mar-06	7.7570	7.7583
17-Mar-06	7.7573	7.7570
20-Mar-06	7.7585	7.7573
21-Mar-06	7.7594	7.7585
22-Mar-06	7.7599	7.7594
23-Mar-06	7.7591	7.7599
24-Mar-06	7.7591	7.7591
27-Mar-06	7.7590	7.7591
28-Mar-06	7.7590	7.7590
29-Mar-06	7.7598	7.7590
30-Mar-06	7.7595	7.7598
31-Mar-06	7.7597	7.7595
3-Apr-06	7.7598	7.7597
4-Apr-06	7.7591	7.7598
5-Apr-06	7.7589	7.7591
6-Apr-06	7.7579	7.7589
7-Apr-06	7.7557	7.7579
10-Apr-06	7.7564	7.7557
11-Apr-06	7.7589	7.7564
12-Apr-06	7.7582	7.7589
13-Apr-06	7.7575	7.7582
14-Apr-06	7.7569	7.7575
17-Apr-06	7.7565	7.7569
18-Apr-06	7.7556	7.7565
19-Apr-06	7.7539	7.7556
20-Apr-06	7.7544	7.7539
21-Apr-06	7.7542	7.7544
24-Apr-06	7.7530	7.7542
25-Apr-06	7.7537	7.7530
26-Apr-06	7.7548	7.7537
27-Apr-06	7.7544	7.7548
28-Apr-06	7.7529	7.7544
1-May-06	7.7527	7.7529
2-May-06	7.7536	7.7527
3-May-06	7.7526	7.7536
4-May-06	7.7521	7.7526
5-May-06	7.7518	7.7521
8-May-06	7.7510	7.7518
9-May-06	7.7517	7.7510
10-May-06	7.7517	7.7517
11-May-06	7.7526	7.7517
12-May-06	7.7532	7.7526
15-May-06	7.7531	7.7532
16-May-06	7.7531	7.7531
17-May-06	7.7534	7.7531
18-May-06	7.7541	7.7534
19-May-06	7.7554	7.7541
22-May-06	7.7537	7.7554
23-May-06	7.7553	7.7537
24-May-06	7.7559	7.7553
25-May-06	7.7567	7.7559
26-May-06	7.7562	7.7567
30-May-06	7.7575	7.7562
31-May-06	7.7567	7.7575
1-Jun-06	7.7578	7.7567
2-Jun-06	7.7581	7.7578
5-Jun-06	7.7586	7.7581
6-Jun-06	7.7596	7.7586
7-Jun-06	7.7617	7.7596
8-Jun-06	7.7619	7.7617
9-Jun-06	7.7611	7.7619
12-Jun-06	7.7607	7.7611
13-Jun-06	7.7624	7.7607
14-Jun-06	7.7621	7.7624
15-Jun-06	7.7617	7.7621
16-Jun-06	7.7643	7.7617
19-Jun-06	7.7660	7.7643
20-Jun-06	7.7666	7.7660
21-Jun-06	7.7665	7.7666
22-Jun-06	7.7660	7.7665
23-Jun-06	7.7684	7.7660
26-Jun-06	7.7675	7.7684
27-Jun-06	7.7661	7.7675
28-Jun-06	7.7678	7.7661
29-Jun-06	7.7675	7.7678
30-Jun-06	7.7666	7.7675
3-Jul-06	7.7670	7.7666
5-Jul-06	7.7715	7.7670
6-Jul-06	7.7709	7.7715
7-Jul-06	7.7682	7.7709
10-Jul-06	7.7707	7.7682
11-Jul-06	7.7730	7.7707
12-Jul-06	7.7759	7.7730
13-Jul-06	7.7754	7.7759
14-Jul-06	7.7753	7.7754
17-Jul-06	7.7751	7.7753
18-Jul-06	7.7740	7.7751
19-Jul-06	7.7756	7.7740
20-Jul-06	7.7756	7.7756
21-Jul-06	7.7754	7.7756
24-Jul-06	7.7773	7.7754
