YEAR	INFBOND	LowerForInt	UpperForeInt
2003.00	2.72	2.72	2.72
2003.08	2.50	2.50	2.50
2003.17	2.52	2.52	2.52
2003.25	2.72	2.72	2.72
2003.33	2.40	2.40	2.40
2003.42	2.27	2.27	2.27
2003.50	2.64	2.64	2.64
2003.58	2.80	2.80	2.80
2003.67	2.67	2.67	2.67
2003.75	2.57	2.57	2.57
2003.83	2.40	2.40	2.40
2003.92	2.31	2.31	2.31
2004.00	2.24	2.24	2.24
2004.08	2.15	2.15	2.15
2004.17	1.93	1.93	1.93
2004.25	2.28	2.28	2.28
2004.33	2.45	2.45	2.45
2004.42	2.43	2.43	2.43
2004.50	2.36	2.36	2.36
2004.58	2.26	2.26	2.26
2004.67	2.18	2.18	2.18
2004.75	2.15	2.15	2.15
2004.83	2.11	2.11	2.11
2004.92	2.00	2.00	2.00
2005.00	1.96	1.96	1.96
2005.08	1.83	1.83	1.83
2005.17	1.93	1.93	1.93
2005.25	1.86	1.86	1.86
2005.33	1.80	1.80	1.80
2005.42	1.77	1.77	1.77
2005.50	1.96	1.96	1.96
2005.58	1.98	1.98	1.98
2005.67	1.89	1.89	1.89
2005.75	2.05	2.05	2.05
2005.83	2.11	2.11	2.11
2005.92	2.09	2.09	2.09
2006.00	2.00	2.00	2.00
2006.08	1.96	1.96	1.96
2006.17	2.13	2.13	2.13
2006.25	2.39	2.39	2.39
2006.33	2.45	2.45	2.45
2006.42	2.50	2.50	2.50
2006.50	2.47	2.47	2.47
2006.58	2.27	2.27	2.27
2006.67	2.26	2.26	2.26
2006.75	2.34	2.34	2.34
2006.83	2.19	2.19	2.19
2006.92	2.23	2.23	2.23
2007.00	2.40	2.40	2.40
2007.08	2.36	2.36	2.36
2007.17	2.25	2.25	2.25
2007.25	2.24	1.971020128	2.508243805
2007.33	2.23	1.88486859	2.577519508
2007.42	2.22	1.834976644	2.613677232
2007.50	2.22	1.803337086	2.634139335
2007.58	2.21	1.782398755	2.645981011
2007.67	2.21	1.768175692	2.652800854
