caldt	vwretd	time
20000103	-0.009384545	1
20000104	-0.03843555	2
20000105	0.000861356	3
20000106	-0.002833938	4
20000107	0.03215128	5
20000110	0.01133733	6
20000111	-0.01373855	7
20000112	-0.00425998	8
20000113	0.01288228	9
20000114	0.01064768	10
20000118	-0.006456841	11
20000119	0.001443756	12
20000120	-0.008703869	13
20000121	-0.002921863	14
20000124	-0.02721266	15
20000125	0.006564984	16
20000126	-0.005048754	17
20000127	-0.003726567	18
20000128	-0.02663906	19
20000131	0.02459213	20
20000201	0.01110016	21
20000202	-0.000557278	22
20000203	0.01211958	23
20000204	-0.000495334	24
20000207	0.00062828	25
20000208	0.01137901	26
20000209	-0.02037231	27
20000210	0.003727771	28
20000211	-0.02060649	29
20000214	0.001833462	30
20000215	0.009353341	31
20000216	-0.01035186	32
20000217	-0.000426254	33
20000218	-0.03000338	34
20000222	0.004271972	35
20000223	0.007724709	36
20000224	-0.005720281	37
20000225	-0.01472805	38
20000228	0.01058619	39
20000229	0.01441446	40
20000301	0.009355467	41
20000302	0.001276631	42
20000303	0.02069571	43
20000306	-0.01265265	44
20000307	-0.0267126	45
20000308	0.008668601	46
20000309	0.02499184	47
20000310	-0.004284124	48
20000313	-0.00783622	49
20000314	-0.01802391	50
20000315	0.02429516	51
20000316	0.04730639	52
20000317	0.005001197	53
20000320	-0.005334957	54
20000321	0.02476937	55
20000322	0.005092013	56
20000323	0.01814176	57
20000324	0.000255002	58
20000327	-0.002332664	59
20000328	-0.01087205	60
20000329	0.001113841	61
20000330	-0.01364215	62
20000331	0.008019551	63
20000403	0.002777476	64
20000404	-0.006242423	65
20000405	-0.004800339	66
20000406	0.008800695	67
20000407	0.01014163	68
20000410	-0.007948935	69
20000411	-0.002902874	70
20000412	-0.02167708	71
20000413	-0.01710092	72
20000414	-0.05948775	73
20000417	0.03265662	74
20000418	0.02876766	75
20000419	-0.009617979	76
20000420	0.004310912	77
20000424	-0.002561635	78
20000425	0.03449366	79
20000426	-0.01205696	80
20000427	0.002974513	81
20000428	-0.008434441	82
20000501	0.01081571	83
20000502	-0.01534739	84
20000503	-0.02091441	85
20000504	-0.004425048	86
20000505	0.01573438	87
20000508	-0.005775971	88
20000509	-0.008550341	89
20000510	-0.02115594	90
20000511	0.01971379	91
20000512	0.008338053	92
20000515	0.02193318	93
20000516	0.009985672	94
20000517	-0.01234367	95
20000518	-0.007533087	96
20000519	-0.02175977	97
20000522	-0.004169881	98
20000523	-0.02005958	99
20000524	0.01980823	100
20000525	-0.01338293	101
20000526	-0.001895938	102
20000530	0.03232091	103
20000531	-0.001540259	104
20000601	0.02040181	105
20000602	0.01958451	106
20000605	-0.006688966	107
20000606	-0.007085343	108
20000607	0.01040059	109
20000608	-0.007088311	110
20000609	-0.003273522	111
20000612	-0.00771547	112
20000613	0.01644381	113
20000614	0.000862997	114
20000615	0.005817968	115
20000616	-0.009550815	116
20000619	0.01504064	117
20000620	-0.006656088	118
20000621	0.001948985	119
20000622	-0.01817098	120
20000623	-0.007486342	121
20000626	0.00976646	122
20000627	-0.003523068	123
20000628	0.003558091	124
20000629	-0.008721123	125
20000630	0.008313875	126
20000703	0.009984009	127
20000705	-0.01637306	128
20000706	0.008038845	129
20000707	0.01555893	130
20000710	-0.002533793	131
20000711	0.00355316	132
20000712	0.008806044	133
20000713	0.002209624	134
20000714	0.01003849	135
20000717	0.000461366	136
20000718	-0.01098195	137
20000719	-0.007885857	138
20000720	0.009820538	139
20000721	-0.01078205	140
20000724	-0.01108053	141
20000725	0.008169224	142
20000726	-0.01479359	143
20000727	-0.001994986	144
20000728	-0.02066733	145
20000731	0.008141188	146
20000801	0.004505165	147
20000802	0.000460116	148
20000803	0.01010529	149
20000804	0.007374804	150
20000807	0.01142478	151
20000808	0.003185639	152
20000809	-0.005994901	153
20000810	-0.008962596	154
20000811	0.008183475	155
20000814	0.01356207	156
20000815	-0.00496625	157
20000816	-0.00299313	158
20000817	0.01088788	159
20000818	-0.002969205	160
20000821	0.005122408	161
20000822	-0.000466487	162
20000823	0.005370154	163
20000824	0.001638417	164
20000825	-0.001576136	165
20000828	0.005446522	166
20000829	-0.002450051	167
20000830	-0.004526204	168
