TIME	g1(t)	g2(t)	sum
1	2.500	1.932	4.432
2	4.330	0.518	4.848
3	5.000	-1.414	3.586
4	4.330	-1.932	2.398
5	2.500	-0.518	1.982
6	0.000	1.414	1.414
7	-2.500	1.932	-0.568
8	-4.330	0.518	-3.812
9	-5.000	-1.414	-6.414
10	-4.330	-1.932	-6.262
11	-2.500	-0.518	-3.018
12	0.000	1.414	1.414
13	2.500	1.932	4.432
14	4.330	0.518	4.848
15	5.000	-1.414	3.586
16	4.330	-1.932	2.398
17	2.500	-0.518	1.982
18	0.000	1.414	1.414
19	-2.500	1.932	-0.568
20	-4.330	0.518	-3.812
21	-5.000	-1.414	-6.414
22	-4.330	-1.932	-6.262
23	-2.500	-0.518	-3.018
24	0.000	1.414	1.414
25	2.500	1.932	4.432
26	4.330	0.518	4.848
27	5.000	-1.414	3.586
28	4.330	-1.932	2.398
29	2.500	-0.518	1.982
30	0.000	1.414	1.414
31	-2.500	1.932	-0.568
32	-4.330	0.518	-3.812
33	-5.000	-1.414	-6.414
34	-4.330	-1.932	-6.262
35	-2.500	-0.518	-3.018
36	0.000	1.414	1.414
37	2.500	1.932	4.432
38	4.330	0.518	4.848
39	5.000	-1.414	3.586
40	4.330	-1.932	2.398
41	2.500	-0.518	1.982
42	0.000	1.414	1.414
43	-2.500	1.932	-0.568
44	-4.330	0.518	-3.812
45	-5.000	-1.414	-6.414
46	-4.330	-1.932	-6.262
47	-2.500	-0.518	-3.018
48	0.000	1.414	1.414
49	2.500	1.932	4.432
50	4.330	0.518	4.848
51	5.000	-1.414	3.586
52	4.330	-1.932	2.398
53	2.500	-0.518	1.982
54	0.000	1.414	1.414
55	-2.500	1.932	-0.568
56	-4.330	0.518	-3.812
57	-5.000	-1.414	-6.414
58	-4.330	-1.932	-6.262
59	-2.500	-0.518	-3.018
60	0.000	1.414	1.414
61	2.500	1.932	4.432
62	4.330	0.518	4.848
63	5.000	-1.414	3.586
64	4.330	-1.932	2.398
65	2.500	-0.518	1.982
66	0.000	1.414	1.414
67	-2.500	1.932	-0.568
68	-4.330	0.518	-3.812
69	-5.000	-1.414	-6.414
70	-4.330	-1.932	-6.262
71	-2.500	-0.518	-3.018
72	0.000	1.414	1.414
73	2.500	1.932	4.432
74	4.330	0.518	4.848
75	5.000	-1.414	3.586
76	4.330	-1.932	2.398
77	2.500	-0.518	1.982
78	0.000	1.414	1.414
79	-2.500	1.932	-0.568
80	-4.330	0.518	-3.812
81	-5.000	-1.414	-6.414
82	-4.330	-1.932	-6.262
83	-2.500	-0.518	-3.018
84	0.000	1.414	1.414
85	2.500	1.932	4.432
86	4.330	0.518	4.848
87	5.000	-1.414	3.586
88	4.330	-1.932	2.398
89	2.500	-0.518	1.982
90	0.000	1.414	1.414
91	-2.500	1.932	-0.568
92	-4.330	0.518	-3.812
93	-5.000	-1.414	-6.414
94	-4.330	-1.932	-6.262
95	-2.500	-0.518	-3.018
96	0.000	1.414	1.414
97	2.500	1.932	4.432
98	4.330	0.518	4.848
99	5.000	-1.414	3.586
100	4.330	-1.932	2.398
101	2.500	-0.518	1.982
102	0.000	1.414	1.414
103	-2.500	1.932	-0.568
104	-4.330	0.518	-3.812
105	-5.000	-1.414	-6.414
106	-4.330	-1.932	-6.262
107	-2.500	-0.518	-3.018
108	0.000	1.414	1.414
109	2.500	1.932	4.432
110	4.330	0.518	4.848
111	5.000	-1.414	3.586
112	4.330	-1.932	2.398
113	2.500	-0.518	1.982
114	0.000	1.414	1.414
115	-2.500	1.932	-0.568
116	-4.330	0.518	-3.812
117	-5.000	-1.414	-6.414
118	-4.330	-1.932	-6.262
119	-2.500	-0.518	-3.018
120	0.000	1.414	1.414
