YEAR	MONTH	COST	RATEC
1986.583	8	14.547	.85
1986.667	9	14.672	0.859
1986.750	10	14.802	0.883
1986.833	11	14.613	-1.277
1986.917	12	14.297	-2.161
1987.000	1	14.325	0.198
1987.083	2	14.623	2.081
1987.167	3	15.136	3.509
1987.250	4	15.220	0.553
1987.333	5	15.759	3.543
1987.417	6	16.072	1.988
1987.500	7	16.113	0.250
1987.583	8	16.183	0.435
1987.667	9	16.454	1.675
1987.750	10	15.989	-2.827
1987.833	11	16.165	1.101
1987.917	12	16.673	3.147
1988.000	1	16.500	-1.037
1988.083	2	16.848	2.108
1988.167	3	16.594	-1.512
1988.250	4	17.439	5.096
1988.333	5	17.989	3.156
1988.417	6	17.803	-1.036
1988.500	7	18.514	3.994
1988.583	8	18.818	1.641
1988.667	9	19.212	2.092
1988.750	10	18.965	-1.284
1988.833	11	18.797	-0.885
1988.917	12	19.167	1.966
1989.000	1	18.974	-1.006
1989.083	2	18.593	-2.006
1989.167	3	19.331	3.969
1989.250	4	20.150	4.237
1989.333	5	20.987	4.151
1989.417	6	21.187	0.953
1989.500	7	21.888	3.309
1989.583	8	21.858	-0.137
1989.667	9	22.474	2.820
1989.750	10	22.160	-1.397
1989.833	11	21.950	-0.947
1989.917	12	21.999	0.222
1990.000	1	21.892	-0.485
1990.083	2	22.236	1.572
1990.167	3	23.035	3.591
1990.250	4	23.466	1.871
1990.333	5	24.651	5.052
1990.417	6	24.734	0.335
1990.500	7	25.287	2.236
1990.583	8	25.326	0.156
1990.667	9	25.788	1.821
1990.750	10	25.199	-2.284
1990.833	11	25.410	0.838
1990.917	12	25.290	-0.472
1991.000	1	24.571	-2.841
1991.083	2	24.292	-1.135
1991.167	3	25.490	4.932
1991.250	4	26.168	2.660
1991.333	5	27.086	3.505
1991.417	6	27.477	1.443
1991.500	7	28.216	2.692
1991.583	8	27.991	-0.799
1991.667	9	28.154	0.581
1991.750	10	27.539	-2.182
1991.833	11	27.909	1.344
1991.917	12	26.826	-3.883
1992.000	1	27.971	4.272
1992.083	2	29.477	5.383
1992.167	3	30.662	4.021
