YEAR	MONTH	COST	RATEC	SINET	COST	SINE2T	COS2T	FITS	FITCCLAIM
1986.667	9	14.672	0.859	0.866	0.500	0.866	-0.500	0.111	14.563
1986.750	10	14.802	0.883	1.000	0.000	0.000	-1.000	-0.438	14.499
1986.833	11	14.613	-1.277	0.866	-0.500	-0.866	-0.500	-0.542	14.421
1986.917	12	14.297	-2.161	0.500	-0.866	-0.866	0.500	-0.174	14.396
1987.000	1	14.325	0.198	0.000	-1.000	0.000	1.000	0.568	14.477
1987.083	2	14.623	2.081	-0.500	-0.866	0.866	0.500	1.485	14.693
1987.167	3	15.136	3.509	-0.866	-0.500	0.866	-0.500	2.332	15.035
1987.250	4	15.220	0.553	-1.000	0.000	0.000	-1.000	2.881	15.468
1987.333	5	15.759	3.543	-0.866	0.500	-0.866	-0.500	2.986	15.930
1987.417	6	16.072	1.988	-0.500	0.866	-0.866	0.500	2.618	16.347
1987.500	7	16.113	0.250	0.000	1.000	0.000	1.000	1.875	16.654
1987.583	8	16.183	0.435	0.500	0.866	0.866	0.500	0.958	16.813
1987.667	9	16.454	1.675	0.866	0.500	0.866	-0.500	0.111	16.832
1987.750	10	15.989	-2.827	1.000	0.000	0.000	-1.000	-0.438	16.758
1987.833	11	16.165	1.101	0.866	-0.500	-0.866	-0.500	-0.542	16.667
1987.917	12	16.673	3.147	0.500	-0.866	-0.866	0.500	-0.174	16.638
1988.000	1	16.500	-1.037	0.000	-1.000	0.000	1.000	0.568	16.733
1988.083	2	16.848	2.108	-0.500	-0.866	0.866	0.500	1.485	16.981
1988.167	3	16.594	-1.512	-0.866	-0.500	0.866	-0.500	2.332	17.378
1988.250	4	17.439	5.096	-1.000	0.000	0.000	-1.000	2.881	17.878
1988.333	5	17.989	3.156	-0.866	0.500	-0.866	-0.500	2.986	18.412
1988.417	6	17.803	-1.036	-0.500	0.866	-0.866	0.500	2.618	18.894
1988.500	7	18.514	3.994	0.000	1.000	0.000	1.000	1.875	19.248
1988.583	8	18.818	1.641	0.500	0.866	0.866	0.500	0.958	19.433
1988.667	9	19.212	2.092	0.866	0.500	0.866	-0.500	0.111	19.454
1988.750	10	18.965	-1.284	1.000	0.000	0.000	-1.000	-0.438	19.369
1988.833	11	18.797	-0.885	0.866	-0.500	-0.866	-0.500	-0.542	19.264
1988.917	12	19.167	1.966	0.500	-0.866	-0.866	0.500	-0.174	19.231
1989.000	1	18.974	-1.006	0.000	-1.000	0.000	1.000	0.568	19.340
1989.083	2	18.593	-2.006	-0.500	-0.866	0.866	0.500	1.485	19.627
1989.167	3	19.331	3.969	-0.866	-0.500	0.866	-0.500	2.332	20.085
1989.250	4	20.150	4.237	-1.000	0.000	0.000	-1.000	2.881	20.664
1989.333	5	20.987	4.151	-0.866	0.500	-0.866	-0.500	2.986	21.280
1989.417	6	21.187	0.953	-0.500	0.866	-0.866	0.500	2.618	21.838
1989.500	7	21.888	3.309	0.000	1.000	0.000	1.000	1.875	22.247
1989.583	8	21.858	-0.137	0.500	0.866	0.866	0.500	0.958	22.460
1989.667	9	22.474	2.820	0.866	0.500	0.866	-0.500	0.111	22.485
1989.750	10	22.160	-1.397	1.000	0.000	0.000	-1.000	-0.438	22.387
1989.833	11	21.950	-0.947	0.866	-0.500	-0.866	-0.500	-0.542	22.265
1989.917	12	21.999	0.222	0.500	-0.866	-0.866	0.500	-0.174	22.227
1990.000	1	21.892	-0.485	0.000	-1.000	0.000	1.000	0.568	22.353
1990.083	2	22.236	1.572	-0.500	-0.866	0.866	0.500	1.485	22.685
1990.167	3	23.035	3.591	-0.866	-0.500	0.866	-0.500	2.332	23.214
1990.250	4	23.466	1.871	-1.000	0.000	0.000	-1.000	2.881	23.883
1990.333	5	24.651	5.052	-0.866	0.500	-0.866	-0.500	2.986	24.596
1990.417	6	24.734	0.335	-0.500	0.866	-0.866	0.500	2.618	25.240
1990.500	7	25.287	2.236	0.000	1.000	0.000	1.000	1.875	25.713
1990.583	8	25.326	0.156	0.500	0.866	0.866	0.500	0.958	25.959
1990.667	9	25.788	1.821	0.866	0.500	0.866	-0.500	0.111	25.988
1990.750	10	25.199	-2.284	1.000	0.000	0.000	-1.000	-0.438	25.874
1990.833	11	25.410	0.838	0.866	-0.500	-0.866	-0.500	-0.542	25.734
1990.917	12	25.290	-0.472	0.500	-0.866	-0.866	0.500	-0.174	25.689
1991.000	1	24.571	-2.841	0.000	-1.000	0.000	1.000	0.568	25.835
1991.083	2	24.292	-1.135	-0.500	-0.866	0.866	0.500	1.485	26.219
1991.167	3	25.490	4.932	-0.866	-0.500	0.866	-0.500	2.332	26.830
1991.250	4	26.168	2.660	-1.000	0.000	0.000	-1.000	2.881	27.603
1991.333	5	27.086	3.505	-0.866	0.500	-0.866	-0.500	2.986	28.428
1991.417	6	27.477	1.443	-0.500	0.866	-0.866	0.500	2.618	29.172
1991.500	7	28.216	2.692	0.000	1.000	0.000	1.000	1.875	29.719
1991.583	8	27.991	-0.799	0.500	0.866	0.866	0.500	0.958	30.004
1991.667	9	28.154	0.581	0.866	0.500	0.866	-0.500	0.111	30.037
1991.750	10	27.539	-2.182	1.000	0.000	0.000	-1.000	-0.438	29.906
1991.833	11	27.909	1.344	0.866	-0.500	-0.866	-0.500	-0.542	29.743
1991.917	12	26.826	-3.883	0.500	-0.866	-0.866	0.500	-0.174	29.691
1992.000	1	27.971	4.272	0.000	-1.000	0.000	1.000	0.568	29.860
1992.083	2	29.477	5.383	-0.500	-0.866	0.866	0.500	1.485	30.304
1992.167	3	30.662	4.021	-0.866	-0.500	0.866	-0.500	2.332	31.010	
